TITLE;TYPE;LENGTH;TIME_SIGNATURE;TEMPO;DEFAULT_TIME_SIGNATURE;DEFAULT_TEMPO;DEFAULT_TIME_SIGNATURE_AND_TEMPO;POSITIVE[IF(TYPE==1&&NOT(DEFAULT_TIME_SIGNATURE_AND_TEMPO))];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
054-BEETHOVEN, Ludwig von - Sonata No-23 Op-57 Appassionata.mid;1;1389.571874999897; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;-;;;;;;
055-BEETHOVEN, Ludwig von - Sonata No-29 No-01 (Hammerklavier).mid;1;663.240727687493; <meta message time_signature numerator=2 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=279>; <meta message set_tempo tempo=545455 time=276>;0;0;0;1;0;;;1817–18;;1818;
056-BEETHOVEN, Ludwig von - Sonata No-29 No-02 (Hammerklavier).mid;1;150.94311554166677; <meta message time_signature numerator=3 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=6>; <meta message set_tempo tempo=500000 time=48>;0;0;0;1;0;;;1817–18;;1818;
057-BEETHOVEN, Ludwig von - Sonata No-29 No-03 (Hammerklavier).mid;1;1008.5598598333198; <meta message time_signature numerator=12 denominator=8 clocks_per_click=12 notated_32nd_notes_per_beat=8 time=48>; <meta message set_tempo tempo=789474 time=164>;0;0;0;1;0;;;1817–18;;1818;
058-BEETHOVEN, Ludwig von - Sonata No-29 No-04 (Hammerklavier).mid;1;690.8399640416897; <meta message time_signature numerator=3 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=5>; <meta message set_tempo tempo=405405 time=138>;0;0;0;1;0;;;1817–18;;1818;
059-BEETHOVEN, Ludwig von - Sonata No-6 (All 3 Mov In One file).mid;1;822.0259152499688; <meta message time_signature numerator=2 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=75240>; <meta message set_tempo tempo=394737 time=0>;0;0;0;1;1;;;;;;
060-BEETHOVEN, Ludwig von - Sonata No-7 (All 4 Mov In One file).mid;1;881.2232039166911; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=70200>; <meta message set_tempo tempo=370370 time=0>;0;0;0;1;1;;;;;;
061-BEETHOVEN, Ludwig von - Sonate Pathetique 01.mid;1;497.23958333334645; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;-;;;;;;
062-BEETHOVEN, Ludwig von - Sonate Pathetique 02.mid;1;299.4499999999991; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=500000 time=0>;1;1;1;0;-;;;;;;
063-BEETHOVEN, Ludwig von - Sonate Pathetique 03.mid;0;267.9923602166646; <meta message time_signature numerator=4 denominator=4 clocks_per_click=24 notated_32nd_notes_per_beat=8 time=0>; <meta message set_tempo tempo=461538 time=0>;1;0;0;1;1;;;;;;
