TITLE;TYPE;LENGTH;TEMPO;DEFAULT_TEMPO[IN_THIS_CASE_512820_YAMAHA_DISKLAVIER_STANDARD];POSITIVE[TYPE==1&&NOT(DEFAULT_TEMPO)];FALSE_POSITIVE;REDUNDANT;TITLE_NOT_SUFFICIENT;YEAR_OF_COMPOSITION;INITIAL_RELEASE;YEAR_FOR_ANALYSIS;COMMENT
Mozart 3 Klaviersonate No-11 KV331 1st Mov.mid;0;834.3047212500386; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate No-11 KV331 2nd Mov.mid;0;368.1286382812567; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate No-11 KV331 3rd Mov.mid;0;192.68276671875032; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate No-12 KV 331 1st Mov.mid;0;262.5371306250043; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate No-12 KV 331 2nd Mov.mid;0;282.64127718750075; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate No-12 KV 331 3rd Mov.mid;0;367.33002796876275; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate No-12 KV332 1st Mov.mid;0;573.8722893750271; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate No-12 KV332 2nd Mov.mid;0;268.2222210937483; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 3 Klaviersonate No-12 KV332 3rd Mov.mid;0;592.6329543750315; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 5 Klaviersonate KV545 2nd Mov.mid;0;347.27128734375077; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 5 Klaviersonate KV545 3rd Mov.mid;0;108.26244515625048; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 5 Klaviersonate KV570 1st Mov.mid;0;479.007266718774; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
Mozart 5 Klaviersonate KV570 2nd Mov.mid;0;458.5278534375049; <meta message set_tempo tempo=512820 time=0>;1;0;-;;;;;;
